"","year","US_State","department_name","total_crime_count","total_crime_per_100k","crime_type","counts","counts_per_100k"
"1",1975,"Texas","Arlington, Texas",278,247.159444513594,"homicide",5,4.44531375024449
"2",1975,"Texas","Austin, Texas",1215,404.460719041278,"homicide",33,10.9853528628495
"3",1975,"Texas","El Paso, Texas",1618,438.482384823848,"homicide",21,5.69105691056911
"4",1975,"Texas","Fort Worth, Texas",1939,508.556815946495,"homicide",69,18.0971739558062
"5",1975,"Texas","Houston",8924,650.275222940054,"homicide",347,25.2852423084042
"6",1975,"Texas","San Antonio",4222,549.157533551678,"homicide",131,17.0392318558195
"7",1976,"Texas","Arlington, Texas",274,254.954871126826,"homicide",5,4.65246115194938
"8",1976,"Texas","Austin, Texas",1202,421.890575203224,"homicide",24,8.42377188425738
"9",1976,"Texas","El Paso, Texas",1573,435.236142584799,"homicide",25,6.91729406523838
"10",1976,"Texas","Fort Worth, Texas",1732,475.429725886764,"homicide",70,19.2148272587029
"11",1976,"Texas","Houston",8045,544.685172647258,"homicide",321,21.7332430602573
"12",1976,"Texas","San Antonio",3285,436.215008186501,"homicide",119,15.8020048627682
"13",1977,"Texas","Arlington, Texas",389,344.266067224808,"homicide",4,3.54001097403402
"14",1977,"Texas","Austin, Texas",1260,391.425908667288,"homicide",33,10.2516309412861
"15",1977,"Texas","El Paso, Texas",1560,404.145077720207,"homicide",32,8.29015544041451
"16",1977,"Texas","Fort Worth, Texas",2561,668.619526509811,"homicide",102,26.6299069519722
"17",1977,"Texas","Houston",9304,576.705057884353,"homicide",376,23.306223319488
"18",1977,"Texas","San Antonio",3755,491.352587026983,"homicide",146,19.1045213597709
"19",1978,"Texas","Arlington, Texas",450,369.609856262834,"homicide",6,4.92813141683778
"20",1978,"Texas","Austin, Texas",1413,426.171065608628,"homicide",35,10.5562542790531
"21",1978,"Texas","El Paso, Texas",1490,373.4335839599,"homicide",21,5.26315789473684
"22",1978,"Texas","Fort Worth, Texas",2670,710.370882775502,"homicide",86,22.8808598946416
"23",1978,"Texas","Houston",10852,730.042401928302,"homicide",484,32.5599449440931
"24",1978,"Texas","San Antonio",3446,421.900634197703,"homicide",136,16.6507505080928
"25",1979,"Texas","Arlington, Texas",626,480.558860783787,"homicide",11,8.44432502974705
"26",1979,"Texas","Austin, Texas",1495,442.66522960853,"homicide",43,12.7321771726868
"27",1979,"Texas","El Paso, Texas",2245,543.262576105158,"homicide",33,7.98559688706914
"28",1979,"Texas","Fort Worth, Texas",3799,987.825743274516,"homicide",99,25.7422344259482
"29",1979,"Texas","Houston",14216,877.723746699892,"homicide",654,40.3792438338302
"30",1979,"Texas","San Antonio",4088,493.042171508241,"homicide",171,20.6238286027175
"31",1980,"Texas","Arlington, Texas",806,500.024815127302,"homicide",7,4.34264727778053
"32",1980,"Texas","Austin, Texas",1723,501.710708306035,"homicide",43,12.5209288782121
"33",1980,"Texas","El Paso, Texas",2811,661.221955109357,"homicide",54,12.7022360640005
"34",1980,"Texas","Fort Worth, Texas",4693,1226.35420286977,"homicide",106,27.6994556795643
"35",1980,"Texas","Houston",16198.8,1040.00128404732,"homicide",628,40.370447650996
"36",1980,"Texas","San Antonio",4265,541.210000900959,"homicide",164,20.8108886630146
"37",1981,"Texas","Arlington, Texas",699,416.448215051713,"homicide",12,7.14932558028693
"38",1981,"Texas","Austin, Texas",1545,432.038522735852,"homicide",39,10.905826787507
"39",1981,"Texas","El Paso, Texas",3510,792.903177711966,"homicide",35,7.90644194299681
"40",1981,"Texas","Fort Worth, Texas",4946,1241.21039344312,"homicide",113,28.3576171571112
"41",1981,"Texas","Houston",13698.6666666667,844.607682649803,"homicide",662,40.8575061589403
"42",1981,"Texas","San Antonio",4651,566.786620862281,"homicide",185,22.5447269102391
"43",1982,"Texas","Arlington, Texas",607,349.209819296863,"homicide",7,4.02713135927189
"44",1982,"Texas","Austin, Texas",1532,413.683974606501,"homicide",57,15.3916361309207
"45",1982,"Texas","El Paso, Texas",3922,855.530518357259,"homicide",41,8.94358777476992
"46",1982,"Texas","Fort Worth, Texas",4901,1187.65766573531,"homicide",103,24.959955023615
"47",1982,"Texas","Houston",17801,1059.83125814551,"homicide",678,40.3665857548819
"48",1982,"Texas","San Antonio",5905,694.876740280846,"homicide",190,22.3584387219916
"49",1983,"Texas","Arlington, Texas",585,327.05133867424,"homicide",7,3.91343482174304
"50",1983,"Texas","Austin, Texas",1534,402.528529931171,"homicide",58,15.2194620182581
"51",1983,"Texas","El Paso, Texas",4275,906.202238902467,"homicide",33,6.99524535293133
"52",1983,"Texas","Fort Worth, Texas",5104,1201.92817160445,"homicide",112,26.3745993769001
"53",1983,"Texas","Houston",15919,920.821178829269,"homicide",561,32.45057361161
"54",1983,"Texas","San Antonio",5327,609.159926493711,"homicide",165,18.8682913218439
"55",1984,"Texas","Arlington, Texas",765,399.529964747356,"homicide",13,6.78939809374592
"56",1984,"Texas","Austin, Texas",1648,427.788608051667,"homicide",59,15.3152474969954
"57",1984,"Texas","El Paso, Texas",3730,800.862268866426,"homicide",24,5.15300119377861
"58",1984,"Texas","Fort Worth, Texas",5452,1297.9407213427,"homicide",119,28.329960718962
"59",1984,"Texas","Houston",15155,839.2481267129,"homicide",473,26.1936234863214
"60",1984,"Texas","San Antonio",5388,628.653435542021,"homicide",160,18.6682534682115
"61",1985,"Texas","Arlington, Texas",1110,507.0090576483,"homicide",18,8.22176850240487
"62",1985,"Texas","Austin, Texas",2363,581.348147091168,"homicide",52,12.7931035331108
"63",1985,"Texas","El Paso, Texas",3662,771.158422305052,"homicide",22,4.63284688441047
"64",1985,"Texas","Fort Worth, Texas",6352,1496.52844040156,"homicide",128,30.1567443909633
"65",1985,"Texas","Houston",16461,942.581060768735,"homicide",457,26.1684918760289
"66",1985,"Texas","San Antonio",5393,625.00144864048,"homicide",180,20.8604229103071
"67",1986,"Texas","Arlington, Texas",1450,649.915286903983,"homicide",22,9.86078366337077
"68",1986,"Texas","Austin, Texas",2667,643.860750325914,"homicide",48,11.5880450002414
"69",1986,"Texas","El Paso, Texas",4734,978.250761998243,"homicide",46,9.5056052074185
"70",1986,"Texas","Fort Worth, Texas",7870,1819.47649014431,"homicide",200,46.2382843746966
"71",1986,"Texas","Houston",20576,1156.16485463373,"homicide",408,22.9255083928151
"72",1986,"Texas","San Antonio",6237,709.288414387285,"homicide",162,18.423075698371
"73",1987,"Texas","Arlington, Texas",1412,561.717295482393,"homicide",18,7.160702067056
"74",1987,"Texas","Austin, Texas",2313,492.607690046897,"homicide",39,8.30596623944184
"75",1987,"Texas","El Paso, Texas",4332,875.232849921407,"homicide",25,5.0509744339878
"76",1987,"Texas","Fort Worth, Texas",7691,1779.06801910688,"homicide",135,31.2279524872486
"77",1987,"Texas","Houston",18971,1090.28798292413,"homicide",323,18.563229059327
"78",1987,"Texas","San Antonio",6092,662.019202034307,"homicide",174,18.9086246148998
"79",1988,"Texas","Arlington, Texas",1388,551.423849478769,"homicide",13,5.16463259598271
"80",1988,"Texas","Austin, Texas",2508,536.558962652672,"homicide",43,9.19937615393338
"81",1988,"Texas","El Paso, Texas",4505,898.226277255834,"homicide",31,6.18091333960729
"82",1988,"Texas","Fort Worth, Texas",7326,1692.35069498185,"homicide",97,22.407591784499
"83",1988,"Texas","Houston",19817,1148.53128598759,"homicide",440,25.5010226489651
"84",1988,"Texas","San Antonio",5273,563.517856131423,"homicide",143,15.2822024325419
"85",1989,"Texas","Arlington, Texas",1550,596.621964926327,"homicide",11,4.23409136399329
"86",1989,"Texas","Austin, Texas",2605,555.547262037035,"homicide",31,6.61111904919312
"87",1989,"Texas","El Paso, Texas",4722,915.813788408614,"homicide",41,7.95179274137085
"88",1989,"Texas","Fort Worth, Texas",6668,1548.96499497074,"homicide",113,26.2497067234094
"89",1989,"Texas","Houston",19528,1139.65634062232,"homicide",459,26.7872931352747
"90",1989,"Texas","San Antonio",5253,553.127280346976,"homicide",168,17.6899644200061
"91",1990,"Texas","Arlington, Texas",1876,716.793837712679,"homicide",8,3.0566901394997
"92",1990,"Texas","Austin, Texas",3326,714.313327119423,"homicide",46,9.87925828246947
"93",1990,"Texas","El Paso, Texas",5111,991.76857310291,"homicide",34,6.59756045499882
"94",1990,"Texas","Fort Worth, Texas",7826,1748.36188812361,"homicide",130,29.042556281123
"95",1990,"Texas","Houston",22637,1388.30200551592,"homicide",568,34.8348075775519
"96",1990,"Texas","San Antonio",5730,612.223310856653,"homicide",208,22.2238130293515
"97",1991,"Texas","Arlington, Texas",2108,788.609309181238,"homicide",26,9.72668028401906
"98",1991,"Texas","Austin, Texas",2968,624.108941496095,"homicide",49,10.3036853548884
"99",1991,"Texas","El Paso, Texas",5616,1066.9929456111,"homicide",49,9.30958944710538
"100",1991,"Texas","Fort Worth, Texas",8914,1949.81746436235,"homicide",195,42.6536241362641
"101",1991,"Texas","Houston",26651,1599.93420404909,"homicide",608,36.4999435691662
"102",1991,"Texas","San Antonio",7573,792.233537851565,"homicide",208,21.7594844675988
"103",1992,"Texas","Arlington, Texas",2056,755.779544694288,"homicide",16,5.88155287699835
"104",1992,"Texas","Austin, Texas",2850,588.873392220672,"homicide",37,7.64502298672452
"105",1992,"Texas","El Paso, Texas",5826,1087.64036553379,"homicide",44,8.21424237615629
"106",1992,"Texas","Fort Worth, Texas",9392,2018.64755772017,"homicide",153,32.8846972243596
"107",1992,"Texas","Houston",24837,1465.10315064719,"homicide",465,27.4297606414199
"108",1992,"Texas","San Antonio",7131,733.020566926803,"homicide",219,22.5117801370032
"109",1993,"Texas","Arlington, Texas",2259,802.954474365172,"homicide",7,2.48812807461541
"110",1993,"Texas","Austin, Texas",3011,599.779290782402,"homicide",37,7.3702536562434
"111",1993,"Texas","El Paso, Texas",6109,1101.68345310767,"homicide",47,8.47587531446399
"112",1993,"Texas","Fort Worth, Texas",6979,1506.13005073666,"homicide",133,28.7025787000969
"113",1993,"Texas","Houston",25069,1453.8425716236,"homicide",446,25.8651636261568
"114",1993,"Texas","San Antonio",6725,682.425191992337,"homicide",220,22.3246902956601
"115",1994,"Texas","Arlington, Texas",2443,851.96758129089,"homicide",18,6.27728876923292
"116",1994,"Texas","Austin, Texas",3249,634.972130801523,"homicide",37,7.23113845480343
"117",1994,"Texas","El Paso, Texas",5369,949.957801278524,"homicide",44,7.78508907734309
"118",1994,"Texas","Fort Worth, Texas",6035,1277.82200691104,"homicide",132,27.949048038485
"119",1994,"Texas","Houston",22986,1307.49663256762,"homicide",375,21.3308638829226
"120",1994,"Texas","San Antonio",6471,647.164716471647,"homicide",194,19.4019401940194
"121",1995,"Texas","Arlington, Texas",2576,881.213995429729,"homicide",9,3.07877560515045
"122",1995,"Texas","Austin, Texas",4050,773.35680773586,"homicide",46,8.78380571749371
"123",1995,"Texas","El Paso, Texas",4948,838.338571537491,"homicide",37,6.26890201028439
"124",1995,"Texas","Fort Worth, Texas",5344,1160.92900389076,"homicide",108,23.4618885516846
"125",1995,"Texas","Houston",22260,1283.48906064861,"homicide",316,18.2202400343648
"126",1995,"Texas","San Antonio",5178,517.851785178518,"homicide",142,14.2014201420142
"127",1996,"Texas","Arlington, Texas",2478,829.783814192719,"homicide",17,5.69262503683463
"128",1996,"Texas","Austin, Texas",3821,710.904882749998,"homicide",40,7.44208199685944
"129",1996,"Texas","El Paso, Texas",5138,852.142213878076,"homicide",30,4.9755286913862
"130",1996,"Texas","Fort Worth, Texas",4984,1059.85276042309,"homicide",68,14.4602704070566
