"","ORI","year","department_name","total_pop","homs_sum","rape_sum","rob_sum","agg_ass_sum","violent_crime","months_reported","violent_per_100k","homs_per_100k","rape_per_100k","rob_per_100k","agg_ass_per_100k","State","US_State"
"1","TX22001",1975,"Arlington, Texas",112478,5,28,113,132,278,12,247.159444513594,4.44531375024449,24.8937570013692,100.464090755526,117.356283006455,"TX","Texas"
"2","TX22701",1975,"Austin, Texas",300400,33,190,529,463,1215,12,404.460719041278,10.9853528628495,63.2490013315579,176.098535286285,154.127829560586,"TX","Texas"
"3","TX07102",1975,"El Paso, Texas",369000,21,122,840,635,1618,12,438.482384823848,5.69105691056911,33.0623306233062,227.642276422764,172.086720867209,"TX","Texas"
"4","TX22012",1975,"Fort Worth, Texas",381275,69,169,1207,494,1939,12,508.556815946495,18.0971739558062,44.3249622975543,316.569405284899,129.565274408236,"TX","Texas"
"5","TXHPD00",1975,"Houston",1372342,347,588,6422,1567,8924,12,650.275222940054,25.2852423084042,42.8464624707252,467.959153039111,114.184365121814,"TXHPD","Texas"
"6","TXSPD00",1975,"San Antonio",768814,131,275,1730,2086,4222,12,549.157533551678,17.0392318558195,35.7693798500027,225.021916874563,271.327004971293,"TXSPD","Texas"
"7","TX22001",1976,"Arlington, Texas",107470,5,30,99,140,274,12,254.954871126826,4.65246115194938,27.9147669116963,92.1187308085977,130.268912254583,"TX","Texas"
"8","TX22701",1976,"Austin, Texas",284908,24,181,518,479,1202,12,421.890575203224,8.42377188425738,63.5292796271077,181.813076501888,168.12444718997,"TX","Texas"
"9","TX07102",1976,"El Paso, Texas",361413,25,118,792,638,1573,12,435.236142584799,6.91729406523838,32.6496279879252,219.139875986752,176.529344544884,"TX","Texas"
"10","TX22012",1976,"Fort Worth, Texas",364302,70,174,985,503,1732,12,475.429725886764,19.2148272587029,47.7625706144902,270.380069283177,138.072258730394,"TX","Texas"
"11","TXHPD00",1976,"Houston",1477000,321,690,5531,1503,8045,12,544.685172647258,21.7332430602573,46.716316858497,374.47528774543,101.760324983074,"TXHPD","Texas"
"12","TXSPD00",1976,"San Antonio",753069,119,263,1262,1641,3285,12,436.215008186501,15.8020048627682,34.9237586462861,167.580925519441,217.908319158005,"TXSPD","Texas"
"13","TX22001",1977,"Arlington, Texas",112994,4,34,85,266,389,12,344.266067224808,3.54001097403402,30.0900932792892,75.2252331982229,235.410729773262,"TX","Texas"
"14","TX22701",1977,"Austin, Texas",321900,33,187,512,528,1260,12,391.425908667288,10.2516309412861,58.0925753339546,159.055607331469,164.026095060578,"TX","Texas"
"15","TX07102",1977,"El Paso, Texas",386000,32,107,824,597,1560,12,404.145077720207,8.29015544041451,27.720207253886,213.471502590674,154.663212435233,"TX","Texas"
"16","TX22012",1977,"Fort Worth, Texas",383028,102,208,1132,1119,2561,12,668.619526509811,26.6299069519722,54.3041239804923,295.539751663064,292.145743914283,"TX","Texas"
"17","TXHPD00",1977,"Houston",1613303,376,965,6153,1810,9304,12,576.705057884353,23.306223319488,59.8151742109201,381.391468310665,112.19219204328,"TXHPD","Texas"
"18","TXSPD00",1977,"San Antonio",764217,146,273,1460,1876,3755,12,491.352587026983,19.1045213597709,35.722837885051,191.045213597709,245.480014184453,"TXSPD","Texas"
"19","TX22001",1978,"Arlington, Texas",121750,6,43,132,269,450,12,369.609856262834,4.92813141683778,35.3182751540041,108.418891170431,220.944558521561,"TX","Texas"
